,< 1 mm organic debric,organic material,functional name,provided by Brian Hayden
1378,euphausiid,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1379,Euphausiid,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1380,Euphausiid molt,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1381,euphausiids 10-15mm TL,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1382,euphausiids,Euphausiacea,,Term corrected to scientific notation by BrianHayden
1383,euphausiid shrimps,Euphausiacea,,provided by Brian Hayden et al. 2018-06-08
1384,Euphorbiaceae fruit,Euphorbiaceae,,provided by Brian Hayden et al. 2018-06-08
1385,Eupragnatha? sp.,Euprognatha,Simons 1997,
1386,Eurosquilla,Erugosquilla,,provided by Brian Hayden et al. 2018-06-08
1387,Eurypaopeus depressus,Eurypanopeus depressus,,
1388,Eurypodius latreillei,Eurypodius latreillii,,provided by Brian Hayden et al. 2018-06-08
1389,Eurytemora grimmi,Eurytemora,,provided by Brian Hayden et al. 2018-06-08
1390,Eurytemora kieferi,Eurytemora,,provided by Brian Hayden et al. 2018-06-08
1391,Eurythemora affinis females,Eurytemora affinis,,provided by Brian Hayden et al. 2018-06-08
1392,Eurythemora,Eurytemora,,provided by Brian Hayden et al. 2018-06-08
1393,Eusiridae Genus A,Eusiridae,Simons 1997,Genus A
1394,Euterpina acutifrions,Euterpina acutifrons,,provided by Brian Hayden et al. 2018-06-08
1395,Eutremes teres,Etrumeus teres,http://eol.org/pages/205036,provided by Anne Thessen on 2015-06-05
1396,Evadine sp.,Cladocera,,mapping provided by Brian Hayden
1397,Evadna,Evadne,,provided by Brian Hayden et al. 2018-06-08
1398,Evadne nordmanii,Evadne nordmanni,,provided by Brian Hayden et al. 2018-06-08
1399,Evadne nordmannii,Evadne nordmanni,,provided by Brian Hayden et al. 2018-06-08
1400,Evadne normanni,Evadne nordmanni,,provided by Brian Hayden et al. 2018-06-08
1401,Evadne trigona,Evadne,,provided by Brian Hayden et al. 2018-06-08
1402,excorallanid,Excorallana,,provided by Brian Hayden et al. 2018-06-08
1403,Exocetidae,Exocoetidae,Saloman and Naughton 1983,
1404,Exochonella antillea,Exechonella antillea,EOL; js,probably a spelling error
1405,exocoetid,Exocoetidae,,provided by Brian Hayden et al. 2018-06-08
1406,Exocorallina antillensis,Excorallana,,provided by Brian Hayden et al. 2018-06-08
1407,Exogene dispar,Exogone dispar,Simons 1997,
1408,Exogene dispar?,Exogone dispar,Simons 1997,
1409,Exogene,Exogone,,assumed typo genus exists in WoRMS
1410,Exogene sp.,Exogone,Simons 1997,
1411,exogenous insects,Insecta,,provided by Brian Hayden et al. 2018-06-08
1412,Exophaeroma,Exosphaeroma,,provided by Brian Hayden et al. 2018-06-08
1413,exoskeleton a mysid,Mysida,,provided by Brian Hayden et al. 2018-06-08
1414,exuviae,organic material,,provided by Brian Hayden et al. 2018-06-08
1415,Fagilaria,Fragilaria,,provided by Brian Hayden et al. 2018-06-08
1416,Far duoraum,Farfantepenaeus duorarum,http://eol.org/pages/325037/;Blewett 2006,
1417,Farfantepenaues aztecus,Farfantepenaeus aztecus,,provided by Brian Hayden et al. 2018-06-08
1418,Farfantepeneaus aztecus,Farfantepenaeus aztecus,js,spelling error
1419,fauna,fauna,,provided by Brian Hayden et al. 2018-06-08
1420,Feathers,Aves,,mapping provided by Brian Hayden
1421,Fecal remains,Detritus,,mapping provided by Brian Hayden
1422,fibrous plants materials,organic material,,provided by Brian Hayden et al. 2018-06-08
1423,Filamentous algae,Algae,,mapping provided by Brian Hayden
1424,Filamentous brown spp.,Algae,,mapping provided by Brian Hayden
1425,filamentous green algae,Algae,,mapping provided by Brian Hayden
1426,Filamentous green spp.,Algae,,mapping provided by Brian Hayden
1427,Filamentous red spp.,Algae,,mapping provided by Brian Hayden
1428,filefish,Monacanthidae,,provided by Brian Hayden et al. 2018-06-08
1429,filementous algae,Algae,,provided by Brian Hayden et al. 2018-06-08
1430,filiform algae,Algae,,provided by Brian Hayden et al. 2018-06-08
1431,finfishes,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1432,finfishes,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1433,finfish,Eugnathostomata,,provided by Jen Hammock
1434,fingernail clams,Bivalvia,,provided by Brian Hayden et al. 2018-06-08
1435,finny scad,Megalaspis cordyla,,provided by Brian Hayden et al. 2018-06-08
1436,fin rays unid. Fish,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1437,fins,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1438,fins fishes,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1439,fis,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1440,fis fish,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1441,fish,Actinopterygii,,
1442,fish - birds - mammals,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1443,Fish bone,Actinopterygii,Wrast 2008,
1444,Fish bones,Actinopterygii,,
1445,fish carcasses,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1446,fish dermal mucus,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1447,fish (early stages),Actinopterygii,,
1448,fish eggs,Actinopterygii,,
1449,fish eggs/larvae,Osteichthyes,,Term corrected to scientific notation by BrianHayden
1450,fisheries,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1451,fishes,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1452,fishes fish,actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1453,FISH except,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1454,Fish Eyeball,Actinopterygii,Wrast 2008,
1455,Fish eyes,Actinopterygii,,
1456,Fish Fin Ray,Actinopterygii,Wrast 2008,
1457,fish fins,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1458,fish fish,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1459,fish fry,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1460,Fish hook,inorganic,,provided by Brian Hayden et al. 2018-06-08
1461,Fish hook long line,inorganic,,provided by Brian Hayden et al. 2018-06-08
1462,fish larvae,Actinopterygii,Barnes 2008,
1463,Fish-Larvae,Actinopterygii,,mapping provided by Brian Hayden
1464,fish lens,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1465,fish lices,Argulidae,,provided by Brian Hayden et al. 2018-06-08
1466,fish light organs,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1467,Fish otolith,Actinopterygii,,
1468,Fish parts,Actinopterygii,Wrast 2008,
1469,fish-rests,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1470,Fish scale,Actinopterygii,,
1471,fish scales-bones,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1472,Fish skull,Actinopterygii,Wrast 2008,
1473,Fish Tissue,Actinopterygii,Wrast 2008,
1474,Fish tissue (otoliths),Actinopterygii,Wrast 2008,
1475,fish unidentified,Actinopterygii,Barnes 2008,
1476,Fish-unidentified,Actinopterygii,,mapping provided by Brian Hayden
1477,Fissurelidea hiantula,Fissurella,,provided by Brian Hayden et al. 2018-06-08
1478,flabelliferans,Flabellifera,,provided by Brian Hayden et al. 2018-06-08
1479,flabelligerid polychaetes,Flabelligeridae,,provided by Brian Hayden et al. 2018-06-08
1480,flagellate protozoa,Protozoa,,provided by Brian Hayden et al. 2018-06-08
1481,flagellates - diatoms,Bacillariophyceae,,provided by Brian Hayden et al. 2018-06-08
1482,Flammulaster carpophilus var. carpophilus,Flammulaster carpophilus var. carpophilus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20carpophilus%20var.%20carpophilus&spKey=NHMSYS0001482303
1483,Flammulaster carpophilus var. rhombosporus,Flammulaster carpophilus var. rhombosporus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20carpophilus%20var.%20rhombosporus&spKey=NHMSYS0001482304
1484,Flammulaster carpophilus var. subincarnatus,Flammulaster carpophilus var. subincarnatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20carpophilus%20var.%20subincarnatus&spKey=NHMSYS0001482305
1485,Flammulaster limulatus var. limulatus,Flammulaster limulatus var. limulatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20limulatus%20var.%20limulatus&spKey=NHMSYS0001482318
1486,Flammulaster limulatus var. litus,Flammulaster limulatus var. litus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20limulatus%20var.%20litus&spKey=BMSSYS0000006830
1487,Flammulaster limulatus var. novasilvensis,Flammulaster limulatus var. novasilvensis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulaster%20limulatus%20var.%20novasilvensis&spKey=NHMSYS0001482319
1488,Flammulina velutipes var. lactea,Flammulina velutipes var. lactea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulina%20velutipes%20var.%20lactea&spKey=BMSSYS0000006832
1489,Flammulina velutipes var. velutipes,Flammulina velutipes var. velutipes,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Flammulina%20velutipes%20var.%20velutipes&spKey=NHMSYS0001482330
1490,fleas,Siphonaptera,,provided by Brian Hayden et al. 2018-06-08
1491,fleshy algae,Algae,,provided by Brian Hayden et al. 2018-06-08
1492,floating algae,Algae,,provided by Brian Hayden et al. 2018-06-08
1493,floating organic,organic material,,provided by Brian Hayden et al. 2018-06-08
1494,Flo carpio,Floridichthys carpio,,
1495,flocculent,inorganic,,provided by Brian Hayden et al. 2018-06-08
1496,flower,Plantae,,
1497,flowers,Plantae,,
1498,flying fishes,Exocoetidae,,provided by Brian Hayden et al. 2018-06-08
1499,flying insects,Exocoetidae,,provided by Brian Hayden et al. 2018-06-08
1500,flying termites,Isoptera,,provided by Brian Hayden et al. 2018-06-08
1501,foliage,organic material,,provided by Brian Hayden et al. 2018-06-08
1502,Foramicidae,Formicidae,,provided by Brian Hayden et al. 2018-06-08
1503,Foraminans,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1504,Foraminfera,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1505,Foraminferans,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1506,foraminiferan,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1507,foraminiferans,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1508,forest material,Organic material,,provided by Brian Hayden et al. 2018-06-08
1509,Formainifera,Foraminifera,http://eol.org/pages/4888,provided by Anne Thessen on 2015-06-05
1510,Formanifera,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1511,formicids,Formicidae,,provided by Brian Hayden et al. 2018-06-08
1512,Forminifera,Foraminifera,,provided by Brian Hayden et al. 2018-06-08
1513,FPOM,detritus,,provided by Brian Hayden et al. 2018-06-08
1514,Fragilaria virenscens,Fragilariforma virescens,,provided by Brian Hayden et al. 2018-06-08
1515,Fragillaria,Fragilaria,,provided by Brian Hayden et al. 2018-06-08
1516,Fruit,Plantae,,mapping provided by Brian Hayden
1517,fruits flowers,organic material,,provided by Brian Hayden et al. 2018-06-08
1518,fruits,organic material,,provided by Brian Hayden et al. 2018-06-08
1519,fruits plants,organic material,,provided by Brian Hayden et al. 2018-06-08
1520,fry,Actinopterygii,,mapping provided by Brian Hayden
1521,fry finfishes,Balaenopteridae,,provided by Brian Hayden et al. 2018-06-08
1522,fry fishes,Actinopterygii,,provided by Brian Hayden et al. 2018-06-08
1523,ftyingfish,Exocoetidae,,provided by Brian Hayden et al. 2018-06-08
1524,Fucoid,Fucales,,provided by Brian Hayden et al. 2018-06-08
1525,Fucus serratrus,Fucus serratus,,provided by Brian Hayden et al. 2018-06-08
1526,Funchalia woodwardii,Funchalia woodwardi,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=107101
1527,Fundulus heteroclitus,Fundulus,,provided by Brian Hayden et al. 2018-06-08
1528,Fundulus jenkinsii,Fundulus jenkinsi,,
1529,Fundulus mojalis,Fundulus majalis,,
1530,Fungal hyphae,Fungi,,
1531,fungal hyphae,Fungi,,
1532,Fungal Hyphae,Fungi,,
1533,Fungal spores,Fungi,,
1534,Fungrandis,Fundulus grandis,,
1535,Fun grandis,Fundulus grandis,http://eol.org/pages/357022,provided by Anne Thessen on 2015-06-05
1536,Fun majalis,Fundulus majalis,,
1537,furcilia,Furcella,,provided by Brian Hayden et al. 2018-06-08
1538,Fusarium oxysporum f.sp. asparagi,Fusarium oxysporum f.sp. asparagi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20asparagi&spKey=NHMSYS0001482490
1539,Fusarium oxysporum f.sp. dianthi,Fusarium oxysporum f.sp. dianthi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20dianthi&spKey=NHMSYS0020535462
1540,Fusarium oxysporum f.sp. lycopersici,Fusarium oxysporum f.sp. lycopersici,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20lycopersici&spKey=NHMSYS0001482492
1541,Fusarium oxysporum f.sp. pisi,Fusarium oxysporum f.sp. pisi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20pisi&spKey=NHMSYS0020535463
1542,Fusarium oxysporum f.sp. tulipae,Fusarium oxysporum f.sp. tulipae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Fusarium%20oxysporum%20f.sp.%20tulipae&spKey=NHMSYS0001482493
1543,Fusicladium radiosum var. radiosum,Fusicladium radiosum var. radiosum,BIO_INFO,Found at:  http://eol.org/pages/6504903/overview
1544,Fusitritron oregonensis,Fusitriton oregonensis,,provided by Brian Hayden et al. 2018-06-08
1545,gadids,Gadidae,,provided by Brian Hayden et al. 2018-06-08
1546,Gadoid,Gadiformes,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=10313
1547,gadoids,Gadidae,,provided by Brian Hayden et al. 2018-06-08
1548,Gaetanus-Chiridius spp.,Gaetanus,,provided by Brian Hayden et al. 2018-06-08
1549,Gaeumannomyces graminis var. avenae,Gaeumannomyces graminis var. avenae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Gaeumannomyces%20graminis%20var.%20avenae&spKey=NHMSYS0001482576
1550,Gaeumannomyces graminis var. graminis,Gaeumannomyces graminis var. graminis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Gaeumannomyces%20graminis%20var.%20graminis&spKey=BMSSYS0000007038
1551,galatheid crabs,Galatheidae,,provided by Brian Hayden et al. 2018-06-08
1552,Galatheid crabs,Galatheidae,,provided by Brian Hayden et al. 2018-06-08
1553,galatheid,Galatheidae,,provided by Brian Hayden et al. 2018-06-08
1554,galatheids,Galatheidae,,provided by Brian Hayden et al. 2018-06-08
1555,galatheid shrimps,Galatheidae,,provided by Brian Hayden et al. 2018-06-08
1556,Galatheoids,Galatheidae,,provided by Brian Hayden et al. 2018-06-08
1557,Galathowena oculata,Galathowenia oculata,,provided by Brian Hayden et al. 2018-06-08
1558,Galaxias brepinnis,Galaxias brevipinnis,,provided by Brian Hayden et al. 2018-06-08
1559,galaxiids,Galaxiidae,,provided by Brian Hayden et al. 2018-06-08
1560,Galerina cerina var. cerina,Galerina cerina var. cerina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Galerina%20cerina%20var.%20cerina&spKey=NHMSYS0001482697
1561,gall tissue (Atriplex canescens),Atriplex canescens,,correcting odd notation from SPIRE data
1562,gall tissue (Atriplex polycarpa),Atriplex polycarpa,,correcting odd notation from SPIRE data
1563,gall tissue,Plantae,,correcting odd notation from SPIRE data
1564,gall tissue (Q. robur),Quercus robur,https://en.wikipedia.org/wiki/Quercus_robur,correcting odd notation from SPIRE data
1565,gamarids,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1566,gamariids,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1567,Gamarus,Gammarus,https://en.wikipedia.org/wiki/Gammarus,suspected typo
1568,Gambuisa affinis,Gambusia affinis,,
1569,Gambusa affinis,Gambusia affinis,http://eol.org/pages/218297,provided by Anne Thessen on 2015-06-05
1570,gammarian copepods,Copepoda,,provided by Brian Hayden et al. 2018-06-08
1571,gammarid amphipod,Gammaridea,,provided by Brian Hayden et al. 2018-06-08
1572,Gammarid amphipod,Gammaridea,,provided by Brian Hayden et al. 2018-06-08
1573,gammarid copepods,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1574,gammaridea amphipods,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1575,gammaridea,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1576,gammaridean amphipods,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1577,Gammaridean amphipods,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1578,gammaridean,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1579,Gammaridean,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1580,gammarideans,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1581,Gammarideans,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1582,gammarid,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1583,Gammarid,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1584,gammaridian amphipods,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1585,gammarids,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1586,Gammarids,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1587,Gammarus micromucronatus,Gammarus mucronatus,McMichael,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=158094
1588,Gammridea,Gammaridae,,provided by Brian Hayden et al. 2018-06-08
1589,Ganthostomata,Gnathostomata,,provided by Brian Hayden et al. 2018-06-08
1590,gamariid,Gammaridae,https://en.wikipedia.org/wiki/Gammaridae,
1591,gammarid amphipods,Gammaridae,https://en.wikipedia.org/wiki/Gammaridae,
1592,Gastosaccus normani,Gastrosaccus,,provided by Brian Hayden et al. 2018-06-08
1593,gastropds,Gastropoda,,provided by Brian Hayden et al. 2018-06-08
1594,Gastropoda Genus A,Gastropoda,Simons 1997,Genus A
1595,Gastropoda Genus B,Gastropoda,Simons 1997,Genus B
1596,Gastropod operculum,Gastropoda,Wrast 2008,
1597,gastropods - crustacea - tubificids,Tubificidae,,provided by Brian Hayden et al. 2018-06-08
1598,gastropod,Gastropoda,,Term corrected to scientific notation by BrianHayden
1599,gastropods,Gastropoda,,Term corrected to scientific notation by BrianHayden
1600,gastropod veliger,Gastropoda,,provided by Brian Hayden et al. 2018-06-08
1601,gastropod veligers,Gastropoda,,provided by Brian Hayden et al. 2018-06-08
1602,Gastrossacus spinifer,Gastrosaccus spinifer,,provided by Brian Hayden et al. 2018-06-08
1603,Gaudichaudia gaudichaudi,Gaudichaudia gaudichaudii,,provided by Brian Hayden et al. 2018-06-08
1604,G. bousfieldi,unidentified,,provided by Brian Hayden et al. 2018-06-08
1605,Gennada,Gennadas,,provided by Brian Hayden et al. 2018-06-08
1606,gempylids,Gempylidae,,provided by Brian Hayden et al. 2018-06-08
1607,Geodia nuptuni,Geodia neptuni,,provided by Brian Hayden et al. 2018-06-08
1608,Geosargus cuprarius,Geosargus cuprarius,js,foreign websites
1609,gephyreans,Annelid,,provided by Brian Hayden et al. 2018-06-08
1610,gerreids,Gerreidae,,provided by Brian Hayden et al. 2018-06-08
